,meta_log2FC,meta_SE,meta_z,meta_pvalue,meta_padj,n_datasets,n_concordant,frac_concordant,replicated
64429,-0.09017678049784598,0.017692617784015808,-5.096859130666077,3.4533510528618916e-07,2.217847637332982e-06,4,4,1.0,True
1741,0.12322002709673892,0.024185567038858508,5.0947751979006135,3.4915531109701457e-07,2.2414458906541124e-06,4,3,0.75,True
26292,0.325129739105399,0.06381752764971052,5.0946777645478685,3.4933491768535835e-07,2.2416629212906447e-06,3,3,1.0,True
55172,0.19893432433588476,0.0390551311330325,5.093679589968852,3.5118007576551964e-07,2.252563064203114e-06,4,3,0.75,True
9167,-0.12163477847334007,0.023887990161579272,-5.091879963554816,3.54530539413494e-07,2.2731055227199626e-06,3,2,0.6666666666666666,True
2139,0.15923588400214853,0.03128523506939655,5.089809414854429,3.5842356825143175e-07,2.2971081124909392e-06,4,4,1.0,True
55197,-0.13362679283796342,0.02626004963067291,-5.088596355198101,3.6072348641006883e-07,2.3108848348145035e-06,4,4,1.0,True
79905,-0.2518084363674417,0.049487656814027434,-5.08830792522118,3.612724318425472e-07,2.313437584164583e-06,4,3,0.75,True
79939,-0.10801890681423988,0.021238356842876855,-5.08602937663082,3.656374432510096e-07,2.340414525388956e-06,4,4,1.0,True
8821,0.27405035659552346,0.053886472146501656,5.085698611897624,3.662753042447193e-07,2.3435217656107194e-06,4,3,0.75,True
140735,-0.12574690796066992,0.024729651221012526,-5.0848637870729085,3.6788999607516976e-07,2.3528738309716036e-06,3,2,0.6666666666666666,True
94031,0.16962352746659645,0.03336201533968771,5.084330959611154,3.689241634726184e-07,2.358506866275055e-06,4,4,1.0,True
50862,-0.1855459607031824,0.03650000122180709,-5.0834508080051,3.7063860200614305e-07,2.3684823382562134e-06,4,4,1.0,True
84674,-0.19955676405215028,0.03927626553953263,-5.080848734238518,3.757522436013252e-07,2.400162337087817e-06,4,3,0.75,True
23338,-0.13949932829281128,0.02745643951905615,-5.080750845206704,3.759459397083558e-07,2.4004023351395224e-06,4,4,1.0,True
11218,-0.14047701762937265,0.027655334746823784,-5.0795630902824795,3.78303879249816e-07,2.4144550201186886e-06,4,4,1.0,True
100129583,0.37261963965376976,0.07336869974683297,5.078727590096815,3.799710641648811e-07,2.42408925789836e-06,3,3,1.0,True
