drug,reversal_score,best_adj_pvalue,l2s2_rank
ql-x-138,173.05913135272831,0.00010697557253795536,66
nvp-auy922,172.25296766492548,0.00018311319593165344,67
sorafenib,171.8278793197565,0.0005138700624177228,68
tivantinib,171.06858688004948,0.00033109196262300593,69
fostamatinib,167.99306876895884,0.0006259435780291228,70
sb590885,166.51091062304397,0.0012631317500135227,71
linifanib,165.49900262488853,0.0013382834675308049,72
afatinib,165.4512517029381,0.000411276804317894,73
jw-7-24-1,163.3586702976771,0.0007124532762712935,74
vandetanib,163.09668311107913,0.0012631317500135227,75
dinaciclib,162.82482509590008,5.270543953562179e-05,76
gsk-461364,162.6813662138272,0.000411276804317894,77
tws-119,161.8906542919769,0.00022892079347802593,78
pha-665752,161.22468093240212,0.0001994014463931419,79
cabozantinib,161.11467101401425,1.4020402548421913e-05,80
wz-3105,158.2294163137035,0.00045259231517756317,81
573228,157.26206297097994,0.003450056678476061,82
wh-4-025,156.26145833762126,3.299751846102309e-05,83
indirubin,156.189537724504,0.1343349223008354,84
zstk-474,155.36270853594067,9.984749914003125e-05,85
everolimus,154.80264980936167,0.0011831795009799115,86
osi-027,152.33368321404828,0.0007144001253658174,87
regorafenib,151.75670811595617,1.1391547968287355e-05,88
mgcd-265,150.33146852307416,0.0015973627910800578,89
mitoxantrone,147.80205027577986,8.177759839375035e-05,90
pha-793887,147.09473223967765,0.0002099519319196348,91
erlotinib,146.879705656689,0.0012005364670053976,92
chir-99021,146.22617084998652,0.0019621055098747,93
torin-2,144.26177142774512,0.00018755668503858818,94
a443654,144.05313557715448,4.2651440845781917e-07,95
gdc-0980,143.45853720773226,9.723829240393198e-05,96
dcc-2036,141.88615858936566,0.001037952311336928,97
pf-431396,139.92043711572913,0.002596079365378855,98
azd-7762,139.2808331591791,0.0004968700181177746,99
rocilinostat,138.2294460918921,0.00045259231517756317,100
bx-912,137.75257165945993,0.0003089636229819176,101
as-605240,136.80075433008682,0.0002235762327683558,102
veliparib,136.38587286399886,0.003450056678476061,103
azd-8055,136.34122725825424,0.00022892079347802593,104
sirolimus,134.47925226804315,0.0019475224384449866,105
brd-a55554369,133.8010624833854,0.03866008200395815,106
ldn-193189,133.7266408201753,0.0029184628488930857,107
pi-103,133.0261944564616,0.0004599671221258683,108
as-601245,132.74810410219465,9.984749914003125e-05,109
xmd-892,132.60433338627683,9.773472716620333e-06,110
ku-60019,132.1642436374136,0.0032412006946695355,111
pracinostat,131.95413584099376,0.00109723469397964,112
gsk-j2,130.5956143179547,0.0014931133887810812,113
xmd-1150,130.2949934051596,2.5345435224248407e-05,114
barasertib,130.07268669433807,0.001808593658645148,115
ast1306,129.22695953634576,0.002146459517140834,116
torin-1,128.19510269225094,3.815269625331049e-05,117
azd-5438,127.93892094653883,0.00016002539100307996,118
xmd-1499,127.86081648787422,0.008967515110201236,119
sb-239063,126.33190593698976,0.00011968266571864713,120
ruxolitinib,126.0589044937251,0.0045652011682687415,121
pf-3758309,124.92842591563026,0.001017638761550929,122
crizotinib,124.39470684473778,0.001474643199770406,123
hg-5-88-01,123.07388162392674,0.0004599671221258683,124
dacomitinib,122.60047978069052,0.0004196096296206588,125
kin001-265,122.48975394062546,0.0019012940914400179,126
265,121.17211742959,0.00022892079347802593,127
belinostat,120.60306921706989,0.0007375924706845365,128
cx-5461,120.13311411012734,0.00686258797038391,129
otssp167,119.64544321571618,0.000473444737928305,130
az-628,117.25113920570546,0.00038780040501501214,131
sb-525334,116.33875864576838,0.0004599671221258683,132
quizartinib,116.1372401935272,0.0029184628488930857,133
s1176,115.47748944713356,0.03471406103864715,134
azd-8330,115.27701352609448,0.001808593658645148,135
cyt387,115.05694927915592,0.0012049113297881145,136
hg-5-113-01,113.63598731470084,0.01166971435872511,137
gsk-1904529a,113.099971588317,0.0001994014463931419,138
tak-715,112.41579071553925,0.0032794403290501753,139
masitinib,111.17444352738514,0.008752738849058082,140
kin001-269,109.82967060963952,0.15123945388490162,141
badge,109.82967060963952,0.20624978327757032,142
brd-k67484673,109.82967060963952,0.20624978327757032,143
bx-795,109.7362174750122,0.019567685810828482,144
embelin,109.0807957935381,0.03223389555922858,145
hydrochloride,109.0807957935381,0.015309638358522943,146
at-7519,109.07448038507496,0.00500163342877321,147
y-39983,108.93339186881741,0.001037952311336928,148
cp-724714,108.72505176418545,0.005253217289859371,149
linsitinib,108.40291774879363,0.001428007251946104,150
buparlisib,107.96569881008669,0.00018755668503858818,151
brd-k81592585,107.27794396232315,0.08144962919956159,152
brd-k33211335,107.27794396232315,0.08144962919956159,153
osi-930,107.04689416862432,0.01166971435872511,154
jwe-035,105.72200325509661,0.00010697557253795536,155
jnk-9l,104.44371680854064,0.001456408989955568,156
xmd-885,104.36814996251985,0.0003110102742041789,157
decitabine,104.10280593361605,0.000600985072931176,158
tanespimycin,104.07725697191762,0.0006416378379645887,159
celastrol,103.31040521091143,0.004397445039811173,160
entinostat,103.28755600195092,0.011111033221024426,161
kin001-260;,102.67732745825363,0.015309638358522943,162
i-bet151,101.8641560956284,7.565698509153262e-05,163
(+)-jq1,101.46005613208351,0.00010697557253795536,164
gsk-2334470,101.0141362635655,0.0011959231759298486,165
bms-387032,101.00379535809698,0.0007144001253658174,166
