probe,log2FoldChange,pvalue,padj
200631_s_at,-0.11126138725127532,0.3840514034468064,0.6280505961401135
200632_s_at,0.1426126078560923,0.3861325526625256,0.6297450925304753
200633_at,-0.12232213590757368,0.20782299738801893,0.45219180753438887
200634_at,0.19280773185663058,0.22098911226666051,0.4667799746636135
200635_s_at,-1.3424313232264176,0.015075559330511452,0.09873762166470958
200636_s_at,-0.3059968862097264,0.44464119311906347,0.6779295043634684
200637_s_at,-1.1298266651343019,0.002517744997925381,0.03596452535502855
200638_s_at,0.28972612125584796,0.015051589617402343,0.09870352308551396
200639_s_at,0.0240535549736407,0.8487680083770257,0.9314473519043499
200640_at,0.22178759954912763,0.014844766633996555,0.0978346758746971
200641_s_at,-0.09674285345920453,0.6293437593159027,0.8079545421925597
200642_at,0.03880867681540323,0.7111443216002323,0.8565638713162685
200643_at,-0.16233381342236441,0.10753957748818778,0.3131851496727041
200644_at,0.6932889340154809,0.020542356497773938,0.11892521985269543
200645_at,-0.08061973829341618,0.4817977989674811,0.707409108190622
200646_s_at,-0.4806224887569801,0.03947629706069143,0.17702763682901734
200647_x_at,-0.04874754475827814,0.8223998071410447,0.9173574163644321
200648_s_at,-0.6886785795459307,0.12725143739034311,0.34269519454843345
200649_at,-0.0435991716166928,0.825142320645566,0.9187810479185062
200650_s_at,-0.2052266491098944,0.10654881282102129,0.3118322169242465
200651_at,-0.17067821107679215,0.07262205496944475,0.24918959822669196
200652_at,-0.025399690186899804,0.7932348933532015,0.9010375250338681
200653_s_at,0.28441014480272386,0.07145024583674005,0.2470719484969664
200654_at,0.42220489551320917,0.011864764978102356,0.08539488307721409
200655_s_at,0.0999446569462421,0.3041921108857134,0.5551898441204318
