"","gene_id","log2FoldChange","stat","pvalue","padj","dataset"
"3598","3598",3.390215,10.4746835802464,4.58739053054817e-14,3.91839607817656e-11,"GSE53845"
"7187","7187",0.83461,10.4190940407027,5.495683871923e-14,4.59842936222128e-11,"GSE53845"
"250","250",-1.20789,-10.3786715097774,6.26868757903774e-14,5.14032381481095e-11,"GSE53845"
"587","587",-0.6815625,-10.3632812207862,6.59114156221102e-14,5.19686161635869e-11,"GSE53845"
"7373","7373",2.5026575,10.3399472324991,7.11234405862651e-14,5.50200200761674e-11,"GSE53845"
"6272","6272",-0.922675000000001,-10.3180040526253,7.6404948466245e-14,5.80111645762231e-11,"GSE53845"
"2274","2274",2.5481275,10.2892093846614,8.39426500444192e-14,6.1458011639664e-11,"GSE53845"
"5979","5979",0.9455775,10.2437096190815,9.74180991495373e-14,7.00726678093163e-11,"GSE53845"
"7070","7070",2.3894875,10.1839133002008,1.18516910223736e-13,8.3779195158158e-11,"GSE53845"
"79630","79630",1.361975,10.1656483078432,1.25841733169056e-13,8.63567607537919e-11,"GSE53845"
"338382","338382",1.6993425,10.1423584600258,1.35850023394195e-13,9.130903211741e-11,"GSE53845"
"6659","6659",1.3175175,10.1334379241165,1.39893352708112e-13,9.25101203392356e-11,"GSE53845"
"55604","55604",-0.7463925,-10.1132958524723,1.49476453355042e-13,9.72783267866146e-11,"GSE53845"
"100133941","100133941",2.3342975,10.0371718400097,1.92096413620184e-13,1.23061764975431e-10,"GSE53845"
"10247","10247",-0.93438,-10.0214826121888,2.02307048794229e-13,1.27609061547129e-10,"GSE53845"
"7273","7273",-2.1673275,-10.0152908416501,2.06486163325495e-13,1.28271707520383e-10,"GSE53845"
"84624","84624",2.20724,10.0089454584014,2.10859551212322e-13,1.29033456712018e-10,"GSE53845"
"7079","7079",-2.18239,-9.98999739140136,2.24484524071638e-13,1.35350963043193e-10,"GSE53845"
"83648","83648",-1.228905,-9.97857529798622,2.3312441248649e-13,1.38523201622407e-10,"GSE53845"
"2281","2281",-1.05458,-9.96738933136745,2.41911562621807e-13,1.41691058107058e-10,"GSE53845"
"54843","54843",1.5304925,9.94865719702303,2.57383261117143e-13,1.48629770504266e-10,"GSE53845"
"28999","28999",-1.7608075,-9.9209212543698,2.82149046183824e-13,1.58875442982726e-10,"GSE53845"
"54438","54438",-1.2665875,-9.92014501930602,2.82875788725342e-13,1.58875442982726e-10,"GSE53845"
"8572","8572",2.0211725,9.85944158890517,3.45986554543101e-13,1.91695253192799e-10,"GSE53845"
"79746","79746",-1.07775,-9.85516626858193,3.50934770739924e-13,1.91844341337825e-10,"GSE53845"
"861","861",1.0281375,9.82692324026275,3.85470148981623e-13,2.06567840575781e-10,"GSE53845"
"221687","221687",-1.53851,-9.80445561251379,4.15382725707386e-13,2.1813615158621e-10,"GSE53845"
"54491","54491",-1.268625,-9.7698231078176,4.66155202936928e-13,2.38904541505175e-10,"GSE53845"
"4881","4881",-1.5192575,-9.66115629981435,6.69991114990903e-13,3.30959466441289e-10,"GSE53845"
"10579","10579",-1.74242,-9.63903455027435,7.21460832382076e-13,3.52141596757918e-10,"GSE53845"
"27284","27284",-1.322805,-9.59289710767374,8.42036592128597e-13,3.95574912040607e-10,"GSE53845"
"4316","4316",4.083155,9.59972930542852,8.22972188700374e-13,3.95574912040607e-10,"GSE53845"
"6608","6608",1.437585,9.59042684937048,8.49038835599352e-13,3.95574912040607e-10,"GSE53845"
