drug,baseline_score,baseline_rank
rivaroxaban,0.07089887640449438,927
GDC-0068,0.07089887640449438,928
withaferin-a,0.07093632958801499,929
zofenopril-calcium,0.0709550561797753,930
CNQX,0.07102996254681643,931
tetrindole,0.07106741573033706,932
medetomidine,0.07106741573033706,933
carbimazole,0.0711048689138577,934
telmesteine,0.07144194756554306,935
acetylcysteine,0.0715168539325843,936
propafenone,0.07162921348314605,937
ethinyl-estradiol,0.0718352059925094,938
sparfloxacin,0.07187265917602997,939
bopindolol,0.07189138576779028,940
nicardipine,0.07200374531835207,941
azithromycin,0.07202247191011235,942
GSK-1059615,0.07202247191011237,943
chrysin,0.07213483146067418,944
PS-178990,0.07215355805243445,945
brivudine,0.0722846441947565,946
tizanidine,0.07239700374531835,947
dasabuvir,0.07241573033707867,948
regadenoson,0.0724906367041199,949
phenformin,0.07256554307116103,950
