entrez,probe,log2FC,t_stat,se,pvalue,padj,n_uc,n_ctrl
26689,1567068_at,-0.09650243665586977,-0.7773503309856781,0.13177399515062851,0.44303921775202854,0.8634493735577837,19,13
26692,221451_s_at,0.003637526206477837,0.3148635511279881,0.011582464724078806,0.7550448627395955,0.991952275999889,19,13
26707,208508_s_at,-0.001310128040486358,-0.108998976114761,0.012569504357979594,0.9139291213950034,0.9996525187900612,19,13
26716,1556986_at,-0.11062878981781399,-1.5233534571330918,0.088402432135428,0.1381432539196327,0.49940375615286414,19,13
26740,1567256_at,-0.0055179007165993,-0.11649953529005566,0.05141751581077153,0.908033055312095,0.9996525187900612,19,13
26747,205135_s_at,0.37888424700809775,2.49414050343903,0.16266229555786355,0.018363967456889917,0.13716528971386013,19,13
26750,218909_at,0.36864436038866444,2.5057411551730118,0.15567909770996938,0.017875344369953774,0.134867404902607,19,13
26751,204019_s_at,-0.32194675210526214,-1.8710883507947218,0.16340968624171,0.07111488201661696,0.33286586544461366,19,13
26762,207052_at,-0.7229551415748987,-1.751455008418887,0.418092593407355,0.09008684256305549,0.3860549917592221,19,13
26775,228047_at,0.025521450975708238,0.9359543318584453,0.025053250476804043,0.3567703822723821,0.794747863066586,19,13
26776,1568248_x_at,0.01089418268825959,1.2278904636797787,0.008535436109726192,0.2290353774485727,0.6517285896800222,19,13
26777,1565859_at,-0.0020204952874496307,-0.29359939628889964,0.007178407149544308,0.7710856520580827,0.9940151896460862,19,13
26778,221989_at,0.9280711522712553,2.900611184868851,0.32965466625808404,0.006909422660908552,0.0721112168962965,19,13
26780,200869_at,0.06184495441295468,1.0415854655234433,0.06042348286110266,0.3059255766582176,0.7465512565850502,19,13
