,pearson,cmap,net_trace,reversal_rank,scrna_rank
BIX-02189,0.1321435794958145,-0.14956140350877192,-0.0332088990216393,1145,4.0
BMS-299897,-0.09100132711597983,0.14925438596491225,-0.0014582282285235,514,1642.0
BMS-345541,-0.059222733631115236,0.0,-0.0362646377204258,1195,1404.0
BMS-387032,-0.07651991494960365,0.07144736842105268,-0.0655326163811533,1616,1552.0
BMS-509744,0.04203892846832504,0.0,0.0184625618162064,248,443.0
BMS-599626,0.05576956177629001,-0.11035087719298248,0.0258170565468989,189,336.0
BMS-707035,-0.021843025332401872,0.0995614035087719,-0.013434672448509,736,1044.0
BMS-777607,0.08053989688462929,-0.13710526315789473,-0.0239252668985277,934,137.0
BMS-927711,-0.07163272977498185,0.16535087719298244,-0.004347315714432,559,1512.0
BMY-14802,-0.0502558376189251,0.09438596491228071,-0.0305576575729538,1087,1308.0
BRD-K68548958,-0.10081474664291673,0.13157894736842102,-0.0445337072481856,1356,1695.0
BRD-K73261812,0.05779195516804046,-0.13149122807017538,-0.0167328960169764,799,319.0
BS-181,-0.07330514664942422,0.11083333333333328,-0.0020965699406764,523,1523.0
BTS-54505,0.0003890394872068366,-0.07092105263157897,-0.0757654671360946,1683,846.0
BVD-523,0.0018903465831503628,0.0,0.0127114980734982,313,827.0
BX-795,-0.06880408994274519,0.11521929824561403,-0.0068807260642242,602,1489.0
BX-912,-0.007707608201950349,-0.0894298245614035,-0.0653254822241824,1614,921.0
CB-10-277-(free-acid),0.03993115494021183,-0.12096491228070178,-0.0411276956891132,1296,460.0
CC-401,-0.07789837588212925,0.1657456140350877,-0.0233045051617236,920,1560.0
