drug,ipf_pearson,ipf_cmap,ra_pearson,ra_cmap
NF-449,-0.06697916898153335,0.13121819400629428,-0.03590544343845618,0.0
NMS-1286937,-0.013550836759149424,0.07487964054187837,0.06568858031111441,-0.256562849355074
NPK76-II-72-1,0.004998924910125557,0.0,0.017483908936935792,-0.28077067989333065
NSC-4644,-0.05642081300670334,0.11717060845703009,-0.03069978932642202,0.17614469434907104
NSI-189,0.013431465128091815,0.0,-0.03809050632351853,0.0
NU-7026,-0.05910431425585602,0.11393827388161165,-0.037266689571531994,0.0
NU-7441,0.02746606551896936,-0.06703657628813217,0.020772843298055087,0.0
NVP-AEW541,-0.028771338523465497,0.12256107775006114,-0.02634391384865405,-0.22927758278050447
NVP-AUY922,0.059451451634391084,-0.10126450647011859,-0.011600247272926852,0.0
NVP-BEZ235,0.02180747663400019,0.0,0.025649994468139953,0.0
NVP-BGJ398,-0.016994442914730814,0.0,0.013674039647561993,-0.16597644004534529
NVP-BHG712,0.07536053491289203,-0.10832811373731047,0.010297729001961603,0.0
NVP-DPP728,-0.004099944353075081,0.0,0.03353376472877604,0.0
NVP-TAE226,0.05433883330393294,-0.10887927536660674,0.0115329164202197,-0.1880748416451249
NVP-TAE684,0.08683101759919121,-0.11841124983987901,0.00228290208209368,-0.3445387289629069
NXY-059,-0.025476678024659208,0.0,-0.04532738165411233,0.0
O6-benzylguanine,-0.06460586685768113,0.08929772754906677,0.009126194313886478,-0.24312375800025227
OCO-1112,-0.007335411659905003,-0.08186591511277816,0.015658673124205578,0.0
ORE-1001,-0.04875013773062311,0.08922181676781102,-0.0893776855744243,0.0
ORG-9768,-0.028910495225147492,0.0,-0.055295254303373925,-0.30960632380986364
OSI-027,-0.05745523184678837,0.10929956602384597,0.043711802963049426,0.0
OSI-930,-0.08885109294324066,0.17971748253409758,-0.046280844085921875,0.0
OTS-167,-0.06243869057600306,0.11346793420490847,-0.01407457719556802,0.0
PA-824,-0.06204569885337919,0.09835167497853549,-0.08914298337680167,0.0
PCA-4248,-0.03730656131595893,0.10568672108056917,-0.010232893937201296,-0.18866817563947158
PCI-24781,0.042462546159791704,0.0,0.010901200280464185,0.0
PD-0325901,0.08756947797743247,-0.13637221779461878,0.031452132569316185,0.0
PD-123319,-0.03808909233919588,0.09755556580800523,-0.02309507950931827,-0.2245566944714069
PD-153035,-0.02121679953731016,0.09385715275139536,0.015896651756485213,0.29188411404847014
PD-173074,-0.04913051712296237,0.09965108602276102,-0.001555840996537071,-0.26021927341064915
PD-184352,0.03391107545730281,0.0694580094167091,0.010375051389787534,0.0
PF-02545920,0.06939091276585369,-0.11208311083005432,-0.04684219107812692,0.1875764256055338
PF-03084014,0.011660794207507657,0.0,-0.025118866680534088,0.2911864941761988
PF-03758309,0.017568035705303527,0.0,0.0065084495525839165,0.0
PF-03814735,-0.01130969131588116,0.0,-0.023546237329789492,0.18692447150477684
PF-04136309,-0.028589866735353835,0.0,0.035243305875225665,-0.2606305505710961
PF-04217903,-0.05896203603907317,0.0,0.003957133148050472,-0.2263132658955168
PF-04447943,-0.024965428541364586,0.1041648362712667,-0.01568518148441822,0.20977721408361938
PF-04457845,0.001796721741865731,0.0,-0.024408047023232772,0.0
PF-04620110,0.0058639123742458,-0.08408322537941634,0.011905376042988285,-0.28511318895160137
PF-04691502,-0.007549716309917278,0.0,0.006618711921197078,0.18934932204189303
PF-431396,-0.038213197635512654,0.0,-0.06975762361603494,0.0
PF-477736,-0.030826455838939254,0.0,-0.023291251660989453,-0.21822512438844172
PF-562271,-0.047400276327013005,0.10325398832388535,-0.06667513492388745,-0.40514544987408657
PF-573228,0.02514435437562131,0.0,-0.0036223925184747634,0.0
PFI-1,0.03211394931816724,0.0,0.041808257503073695,-0.20228443708741545
PH-797804,-0.04557859992038713,0.0,-0.008675519252350298,0.0
PHA-665752,-0.011396910014653774,0.0,0.012548079969112152,-0.2863388592246202
PHA-767491,-0.19607735223839315,0.24707367067118235,-0.005461870225000259,0.20220171848886193
PHA-793887,-0.03213318243760493,0.13546353187999166,-0.03028533742581053,0.27649016225711115
PHA-848125,0.06742239498873702,-0.13211300674654564,0.02236724668208966,-0.18218649461327058
PI-103,-0.0002088418846363328,0.0,0.013514625759388013,0.0
